Protein1,Protein2,ShortestPath
CCDC124,CSDE1,2
CCDC124,AKAP8L,2
CCDC124,UTP18,2
CCDC124,PTBP1,2
CCDC124,DCN,3
CCDC124,MATR3,2
CCDC124,SAMD4A,3
CCDC124,AQR,2
CCDC124,STRAP,2
CCDC124,SEC63,2
CCDC124,BCLAF1,2
CCDC124,TFB1M,2
CCDC124,GRN,3
CCDC124,ZCCHC8,2
CCDC124,NSUN2,2
CCDC124,SKIV2L2,2
CCDC124,STAU2,2
CCDC124,CTNNA1,2
CCDC124,YTHDC2,2
CCDC124,POLR2B,2
CCDC124,TPR,2
CCDC124,MAP4,2
CCDC124,NOP16,2
CCDC124,FAM120A,2
CCDC124,PTCD2,2
CCDC124,RRP12,2
CCDC124,MRTO4,2
CCDC124,THRAP3,2
CCDC124,NOP58,2
CCDC124,USP36,2
CCDC124,MLL3,2
CCDC124,PUM2,2
CCDC124,MRPL43,2
CCDC124,ZFR,2
CCDC124,RC3H2,3
CCDC124,ZC3H11A,2
CCDC124,PARP12,2
CCDC124,ALDH18A1,2
CCDC124,CSDA,2
CCDC124,CCAR1,2
RPS20,CSDE1,2
RPS20,AKAP8L,2
RPS20,UTP18,2
RPS20,PTBP1,2
RPS20,DCN,3
RPS20,MATR3,2
RPS20,SAMD4A,3
RPS20,AQR,2
RPS20,STRAP,2
RPS20,SEC63,2
RPS20,BCLAF1,2
RPS20,TFB1M,2
RPS20,GRN,3
RPS20,ZCCHC8,2
RPS20,NSUN2,2
RPS20,SKIV2L2,2
RPS20,STAU2,2
RPS20,CTNNA1,2
RPS20,YTHDC2,2
RPS20,POLR2B,2
RPS20,TPR,2
RPS20,MAP4,2
RPS20,NOP16,2
RPS20,FAM120A,2
RPS20,PTCD2,2
RPS20,RRP12,2
RPS20,MRTO4,2
RPS20,THRAP3,2
RPS20,NOP58,2
RPS20,USP36,2
RPS20,MLL3,2
RPS20,PUM2,2
RPS20,MRPL43,2
RPS20,ZFR,2
RPS20,RC3H2,3
RPS20,ZC3H11A,2
RPS20,PARP12,2
RPS20,ALDH18A1,2
RPS20,CSDA,2
RPS20,CCAR1,2
CSDE1,AKAP8L,2
CSDE1,UTP18,2
CSDE1,PTBP1,2
CSDE1,DCN,3
CSDE1,MATR3,2
CSDE1,SAMD4A,3
CSDE1,AQR,2
CSDE1,STRAP,2
CSDE1,SEC63,2
CSDE1,BCLAF1,2
CSDE1,TFB1M,2
CSDE1,GRN,3
CSDE1,ZCCHC8,2
CSDE1,NSUN2,2
CSDE1,SKIV2L2,2
CSDE1,STAU2,2
CSDE1,CTNNA1,2
CSDE1,YTHDC2,2
CSDE1,POLR2B,2
CSDE1,TPR,2
CSDE1,MAP4,2
CSDE1,NOP16,2
CSDE1,FAM120A,2
CSDE1,PTCD2,2
CSDE1,RRP12,2
CSDE1,MRTO4,2
CSDE1,THRAP3,2
CSDE1,NOP58,2
CSDE1,USP36,2
CSDE1,MLL3,2
CSDE1,PUM2,2
CSDE1,MRPL43,2
CSDE1,ZFR,2
CSDE1,RC3H2,3
CSDE1,ZC3H11A,2
CSDE1,PARP12,2
CSDE1,ALDH18A1,2
CSDE1,CSDA,2
CSDE1,CCAR1,2
AKAP8L,UTP18,2
AKAP8L,PTBP1,2
AKAP8L,DCN,3
AKAP8L,MATR3,2
AKAP8L,SAMD4A,3
AKAP8L,AQR,2
AKAP8L,STRAP,2
AKAP8L,SEC63,2
AKAP8L,BCLAF1,2
AKAP8L,TFB1M,2
AKAP8L,GRN,3
AKAP8L,ZCCHC8,2
AKAP8L,NSUN2,2
AKAP8L,SKIV2L2,2
AKAP8L,STAU2,2
AKAP8L,CTNNA1,2
AKAP8L,YTHDC2,2
AKAP8L,POLR2B,2
AKAP8L,TPR,2
AKAP8L,MAP4,2
AKAP8L,NOP16,2
AKAP8L,FAM120A,2
AKAP8L,PTCD2,2
AKAP8L,RRP12,2
AKAP8L,MRTO4,2
AKAP8L,THRAP3,2
AKAP8L,NOP58,2
AKAP8L,USP36,2
AKAP8L,MLL3,2
AKAP8L,PUM2,2
AKAP8L,MRPL43,2
AKAP8L,ZFR,2
AKAP8L,RC3H2,3
AKAP8L,ZC3H11A,2
AKAP8L,PARP12,2
AKAP8L,ALDH18A1,2
AKAP8L,CSDA,2
AKAP8L,CCAR1,2
UTP18,PTBP1,2
UTP18,DCN,3
UTP18,MATR3,2
UTP18,SAMD4A,3
UTP18,AQR,2
UTP18,STRAP,2
UTP18,SEC63,2
UTP18,BCLAF1,2
UTP18,TFB1M,2
UTP18,GRN,3
UTP18,ZCCHC8,2
UTP18,NSUN2,2
UTP18,SKIV2L2,2
UTP18,STAU2,2
UTP18,CTNNA1,2
UTP18,YTHDC2,2
UTP18,POLR2B,2
UTP18,TPR,2
UTP18,MAP4,2
UTP18,NOP16,2
UTP18,FAM120A,2
UTP18,PTCD2,2
UTP18,RRP12,2
UTP18,MRTO4,2
UTP18,THRAP3,2
UTP18,NOP58,2
UTP18,USP36,1
UTP18,MLL3,2
UTP18,PUM2,2
UTP18,MRPL43,2
UTP18,ZFR,2
UTP18,RC3H2,3
UTP18,ZC3H11A,2
UTP18,PARP12,2
UTP18,ALDH18A1,2
UTP18,CSDA,2
UTP18,CCAR1,2
PTBP1,DCN,3
PTBP1,MATR3,2
PTBP1,SAMD4A,3
PTBP1,AQR,2
PTBP1,STRAP,2
PTBP1,SEC63,2
PTBP1,BCLAF1,2
PTBP1,TFB1M,2
PTBP1,GRN,3
PTBP1,ZCCHC8,2
PTBP1,NSUN2,2
PTBP1,SKIV2L2,2
PTBP1,STAU2,2
PTBP1,CTNNA1,2
PTBP1,YTHDC2,2
PTBP1,POLR2B,2
PTBP1,TPR,2
PTBP1,MAP4,2
PTBP1,NOP16,2
PTBP1,FAM120A,2
PTBP1,PTCD2,2
PTBP1,RRP12,2
PTBP1,MRTO4,2
PTBP1,THRAP3,2
PTBP1,NOP58,2
PTBP1,USP36,2
PTBP1,MLL3,2
PTBP1,PUM2,2
PTBP1,MRPL43,2
PTBP1,ZFR,2
PTBP1,RC3H2,3
PTBP1,ZC3H11A,2
PTBP1,PARP12,2
PTBP1,ALDH18A1,2
PTBP1,CSDA,2
PTBP1,CCAR1,2
DCN,MATR3,2
DCN,SAMD4A,4
DCN,AQR,3
DCN,STRAP,3
DCN,SEC63,3
DCN,BCLAF1,3
DCN,TFB1M,3
DCN,GRN,3
DCN,ZCCHC8,3
DCN,NSUN2,3
DCN,SKIV2L2,3
DCN,STAU2,3
DCN,CTNNA1,3
DCN,YTHDC2,3
DCN,POLR2B,3
DCN,TPR,3
DCN,MAP4,3
DCN,NOP16,3
DCN,FAM120A,3
DCN,PTCD2,3
DCN,RRP12,3
DCN,MRTO4,3
DCN,THRAP3,3
DCN,NOP58,3
DCN,USP36,3
DCN,MLL3,3
DCN,PUM2,3
DCN,MRPL43,3
DCN,ZFR,3
DCN,RC3H2,3
DCN,ZC3H11A,3
DCN,PARP12,3
DCN,ALDH18A1,3
DCN,CSDA,3
DCN,CCAR1,3
MATR3,SAMD4A,3
MATR3,AQR,2
MATR3,STRAP,2
MATR3,SEC63,2
MATR3,BCLAF1,2
MATR3,TFB1M,2
MATR3,GRN,2
MATR3,ZCCHC8,2
MATR3,NSUN2,2
MATR3,SKIV2L2,2
MATR3,STAU2,2
MATR3,CTNNA1,2
MATR3,YTHDC2,2
MATR3,POLR2B,2
MATR3,TPR,2
MATR3,MAP4,2
MATR3,NOP16,2
MATR3,FAM120A,2
MATR3,PTCD2,2
MATR3,RRP12,2
MATR3,MRTO4,2
MATR3,THRAP3,2
MATR3,NOP58,2
MATR3,USP36,2
MATR3,MLL3,2
MATR3,PUM2,2
MATR3,MRPL43,2
MATR3,ZFR,2
MATR3,RC3H2,3
MATR3,ZC3H11A,2
MATR3,PARP12,2
MATR3,ALDH18A1,2
MATR3,CSDA,2
MATR3,CCAR1,2
SAMD4A,AQR,3
SAMD4A,STRAP,3
SAMD4A,SEC63,3
SAMD4A,BCLAF1,2
SAMD4A,TFB1M,3
SAMD4A,GRN,4
SAMD4A,ZCCHC8,3
SAMD4A,NSUN2,3
SAMD4A,SKIV2L2,3
SAMD4A,STAU2,3
SAMD4A,CTNNA1,3
SAMD4A,YTHDC2,3
SAMD4A,POLR2B,3
SAMD4A,TPR,3
SAMD4A,MAP4,3
SAMD4A,NOP16,3
SAMD4A,FAM120A,3
SAMD4A,PTCD2,3
SAMD4A,RRP12,3
SAMD4A,MRTO4,3
SAMD4A,THRAP3,2
SAMD4A,NOP58,3
SAMD4A,USP36,3
SAMD4A,MLL3,3
SAMD4A,PUM2,3
SAMD4A,MRPL43,3
SAMD4A,ZFR,3
SAMD4A,RC3H2,4
SAMD4A,ZC3H11A,3
SAMD4A,PARP12,3
SAMD4A,ALDH18A1,3
SAMD4A,CSDA,3
SAMD4A,CCAR1,3
AQR,STRAP,2
AQR,SEC63,2
AQR,BCLAF1,2
AQR,TFB1M,2
AQR,GRN,3
AQR,ZCCHC8,2
AQR,NSUN2,2
AQR,SKIV2L2,2
AQR,STAU2,2
AQR,CTNNA1,2
AQR,YTHDC2,2
AQR,POLR2B,2
AQR,TPR,2
AQR,MAP4,2
AQR,NOP16,2
AQR,FAM120A,2
AQR,PTCD2,2
AQR,RRP12,2
AQR,MRTO4,2
AQR,THRAP3,2
AQR,NOP58,2
AQR,USP36,2
AQR,MLL3,2
AQR,PUM2,2
AQR,MRPL43,2
AQR,ZFR,2
AQR,RC3H2,3
AQR,ZC3H11A,2
AQR,PARP12,2
AQR,ALDH18A1,2
AQR,CSDA,2
AQR,CCAR1,2
STRAP,SEC63,2
STRAP,BCLAF1,2
STRAP,TFB1M,2
STRAP,GRN,3
STRAP,ZCCHC8,2
STRAP,NSUN2,2
STRAP,SKIV2L2,2
STRAP,STAU2,2
STRAP,CTNNA1,2
STRAP,YTHDC2,2
STRAP,POLR2B,2
STRAP,TPR,2
STRAP,MAP4,2
STRAP,NOP16,2
STRAP,FAM120A,2
STRAP,PTCD2,2
STRAP,RRP12,2
STRAP,MRTO4,2
STRAP,THRAP3,2
STRAP,NOP58,2
STRAP,USP36,2
STRAP,MLL3,2
STRAP,PUM2,2
STRAP,MRPL43,2
STRAP,ZFR,2
STRAP,RC3H2,3
STRAP,ZC3H11A,2
STRAP,PARP12,2
STRAP,ALDH18A1,2
STRAP,CSDA,2
STRAP,CCAR1,2
SEC63,BCLAF1,2
SEC63,TFB1M,2
SEC63,GRN,3
SEC63,ZCCHC8,2
SEC63,NSUN2,2
SEC63,SKIV2L2,2
SEC63,STAU2,2
SEC63,CTNNA1,2
SEC63,YTHDC2,2
SEC63,POLR2B,2
SEC63,TPR,2
SEC63,MAP4,2
SEC63,NOP16,2
SEC63,FAM120A,2
SEC63,PTCD2,2
SEC63,RRP12,2
SEC63,MRTO4,2
SEC63,THRAP3,2
SEC63,NOP58,2
SEC63,USP36,2
SEC63,MLL3,2
SEC63,PUM2,2
SEC63,MRPL43,2
SEC63,ZFR,2
SEC63,RC3H2,3
SEC63,ZC3H11A,2
SEC63,PARP12,2
SEC63,ALDH18A1,2
SEC63,CSDA,2
SEC63,CCAR1,2
BCLAF1,TFB1M,2
BCLAF1,GRN,3
BCLAF1,ZCCHC8,2
BCLAF1,NSUN2,2
BCLAF1,SKIV2L2,2
BCLAF1,STAU2,2
BCLAF1,CTNNA1,2
